dt,lat,lng,altitude,angle,speed,params
2014-05-05 16:08:23,52.469795,-1.545743,121,232,17,"fuel1=1000"
2014-05-05 16:08:26,52.46976,-1.545958,121,262,17,"fuel1=999"
2014-05-05 16:08:41,52.469859,-1.547335,128,283,31,"fuel1=998"
2014-05-05 16:08:48,52.47016,-1.548275,130,304,37,"fuel1=997"
2014-05-05 16:09:08,52.471302,-1.550592,121,300,43,"fuel1=996"
2014-05-05 16:09:13,52.471443,-1.551558,122,277,55,"fuel1=995"
2014-05-05 16:09:23,52.471382,-1.554717,130,266,75,"fuel1=994"
2014-05-05 16:09:32,52.471213,-1.557665,136,263,85,"fuel1=993"
2014-05-05 16:09:40,52.470963,-1.560592,141,260,93,"fuel1=992"
2014-05-05 16:09:48,52.470557,-1.563555,144,256,94,"fuel1=991"
2014-05-05 16:09:56,52.470093,-1.566638,150,256,99,"fuel1=990"
2014-05-05 16:10:05,52.469661,-1.569947,155,259,106,"fuel1=989"
2014-05-05 16:10:12,52.469296,-1.573078,157,258,114,"fuel1=988"
2014-05-05 16:10:18,52.468918,-1.576413,158,260,121,"fuel1=987"
2014-05-05 16:10:24,52.468637,-1.579403,158,260,124,"fuel1=986"
2014-05-05 16:10:30,52.468342,-1.58243,155,261,125,"fuel1=985"
2014-05-05 16:10:36,52.468064,-1.58547,153,262,124,"fuel1=984"
2014-05-05 16:10:42,52.467856,-1.588517,153,263,124,"fuel1=983"
2014-05-05 16:10:49,52.467677,-1.591558,151,264,124,"fuel1=982"
2014-05-05 16:10:55,52.467533,-1.594603,151,266,124,"fuel1=981"
2014-05-05 16:11:01,52.467398,-1.597645,150,266,124,"fuel1=980"
2014-05-05 16:11:06,52.467318,-1.600688,150,268,124,"fuel1=979"
2014-05-05 16:11:12,52.46728,-1.603732,152,268,124,"fuel1=978"
2014-05-05 16:11:18,52.467261,-1.606772,154,269,124,"fuel1=977"
2014-05-05 16:11:24,52.467274,-1.609817,157,270,123,"fuel1=976"
2014-05-05 16:11:30,52.467315,-1.612862,161,272,124,"fuel1=975"
2014-05-05 16:11:37,52.467408,-1.615913,164,272,124,"fuel1=974"
2014-05-05 16:11:43,52.467517,-1.61897,165,273,125,"fuel1=973"
2014-05-05 16:11:48,52.467667,-1.622032,161,274,125,"fuel1=972"
2014-05-05 16:11:54,52.46785,-1.625082,155,275,125,"fuel1=971"
2014-05-05 16:12:00,52.468064,-1.628132,149,277,125,"fuel1=970"
2014-05-05 16:12:06,52.468291,-1.63116,142,277,124,"fuel1=969"
2014-05-05 16:12:12,52.468557,-1.634192,140,278,124,"fuel1=968"
2014-05-05 16:12:19,52.46881,-1.637215,137,277,124,"fuel1=967"
2014-05-05 16:12:25,52.469066,-1.640255,136,277,125,"fuel1=966"
2014-05-05 16:12:31,52.469344,-1.643298,133,278,125,"fuel1=965"
2014-05-05 16:12:38,52.469658,-1.646832,124,277,124,"fuel1=964"
2014-05-05 16:12:44,52.469914,-1.649873,120,277,124,"fuel1=963"
2014-05-05 16:12:50,52.470131,-1.652918,114,276,125,"fuel1=962"
2014-05-05 16:12:56,52.470374,-1.655953,107,277,124,"fuel1=961"
2014-05-05 16:13:02,52.470627,-1.658958,99,278,124,"fuel1=960"
2014-05-05 16:13:08,52.470998,-1.661957,94,283,124,"fuel1=959"
2014-05-05 16:13:15,52.471539,-1.664868,89,288,124,"fuel1=958"
